기준일자,기업명,종목코드,유형자산의 처분,분기코드,이자의 수취,비유동자산,재고자산,매출총이익,비지배지분,부채총계,이연법인세부채,비유동부채,현금및현금성자산,자본금,이자의 지급,유동부채,기타포괄손익,유형자산,금융수익,매출원가,유형자산의 취득,무형자산,자산총계,유동자산,무형자산의 취득,사업년도,분기명,주가코드,분기종가,발행주식수,PSR,GP/A
20201116,삼성전자,00126380,356094000000.0,11014,356569000000,148286383000000,12836108000000.0,14338642000000,170909000000,46699244000000,18362110000000.0,2057001000000,2700629000000,897514000000,124292000000.0,44642243000000,-28298000000,79988905000000,911152000000,33462592000000,19150071000000,6933886000000,228286881000000,80000498000000,1711090000000,2020,3분기,005930,66300,1301110006246,1.804631098312437,6.280975033339739
20210309,삼성전자,00126380,431142000000.0,11011,448323000000,155865878000000,13831372000000.0,49557772000000,359529000000,46347703000000,18810845000000.0,1934799000000,989045000000,897514000000,148262000000.0,44412904000000,-549299000000,86166924000000,5676877000000,116753419000000,26962042000000,7002648000000,229664427000000,73798549000000,2239834000000,2020,4분기,005930,81400,1301110006246,0.6368203719280947,21.578340471508895
20210517,삼성전자,00126380,190300000000.0,11013,68537000000,157912520000000,12864656000000.0,11904828000000,219632000000,61774498000000,20206147000000.0,1840817000000,8291000000000,897514000000,23076000000.0,59933681000000,16006000000,88554997000000,920764000000,33137562000000,7449044000000,6878693000000,236530572000000,78618052000000,644893000000,2021,1분기,005930,79600,1301110006246,2.2993530427044746,5.033103289497816
20210817,삼성전자,00126380,318318000000.0,11012,167563000000,165379969000000,12794771000000.0,14766046000000,140678000000,46474707000000,20561350000000.0,3720941000000,4881542000000,897514000000,45404000000.0,42753766000000,-80229000000,93677031000000,757914000000,31002588000000,17369129000000,9218016000000,227827588000000,62447619000000,1454242000000,2021,2분기,005930,74200,1301110006246,2.1093564309446773,6.481237030872661
20211115,삼성전자,00126380,390249000000.0,11014,225993000000,167431393000000,13499961000000.0,18285733000000,291503000000,53294308000000,22487982000000.0,3696390000000,3928457000000,897514000000,79260000000.0,49597918000000,-105283000000,96420021000000,1408263000000,35634079000000,25648685000000,8989979000000,240684418000000,73253025000000,2012016000000,2021,3분기,005930,71400,1301110006246,1.722915028820286,7.597389624117669
20220308,삼성전자,00126380,408560000000.0,11011,282918000000,177558768000000,15973053000000.0,63921272000000,871837000000,57918452000000,23198205000000.0,4851149000000,3918872000000,897514000000,125036000000.0,53067303000000,-613225000000,103667025000000,3796979000000,135823433000000,36021504000000,8657456000000,251112184000000,73553416000000,2459929000000,2021,4분기,005930,69500,1301110006246,0.4527136047691327,25.45526504600032
20220516,삼성전자,00126380,55545000000.0,11013,57351000000,177887983000000,18708199000000.0,17539346000000,236954000000,61078241000000,23705374000000.0,4278465000000,9129795000000,897514000000,50096000000.0,56799776000000,-116928000000,104032562000000,1739895000000,39184912000000,6939519000000,8333496000000,259354011000000,81466028000000,863935000000,2022,1분기,005930,66300,1301110006246,1.5207531390557776,6.7627047418210156
20220816,삼성전자,00126380,239039000000.0,11012,161320000000,182776820000000,21390252000000.0,18677020000000,178247000000,55056850000000,26341382000000.0,4745989000000,3079118000000,897514000000,117383000000.0,50310861000000,-100478000000,108381976000000,2489143000000,39964268000000,16286602000000,8181534000000,258971297000000,76194477000000,1335396000000,2022,2분기,005930,61000,1301110006246,1.3534441873276386,7.212003884739396
20221114,삼성전자,00126380,260949000000.0,11014,253051000000,187075421000000,25680933000000.0,15021662000000,361777000000,53983372000000,28896279000000.0,5134628000000,6965195000000,897514000000,210740000000.0,48848744000000,-165065000000,112946314000000,3400924000000,38689379000000,26103575000000,8883979000000,261029078000000,73953657000000,2885624000000,2022,3분기,005930,61900,1301110006246,1.4994814452884537,5.7547849132731494
20230307,삼성전자,00126380,288684000000.0,11011,339560000000,201021092000000,27990007000000.0,59278090000000,914634000000,50667559000000,5111332000000.0,4581512000000,3921593000000,897514000000,287488000000.0,46086047000000,613118000000,123266986000000,9734299000000,152589393000000,39160176000000,8561424000000,260083750000000,59062658000000,3298378000000,2022,4분기,005930,60700,1301110006246,0.3727678087303855,22.791923755328813
20230515,삼성전자,00126380,52599000000.0,11013,45168000000,206462959000000,30485357000000.0,5055190000000,267337000000,63441883000000,4634692000000.0,17118387000000,8414405000000,897514000000,90232000000.0,46323496000000,-152805000000,126355577000000,2153358000000,37113489000000,11093859000000,11318579000000,274410387000000,67947428000000,1031652000000,2023,1분기,005930,64500,1301110006246,1.9901404879879447,1.8422006744227215
20180515,현대자동차,00164742,20287000000.0,11013,64895000000,46818532000000,2650762000000.0,1613057000000,48478000000,16072321000000,3233121000000.0,5157419000000,88841000000,1488993000000,28761000000.0,10914902000000,4051000000,22143167000000,337034000000,8059414000000,697658000000,3674807000000,69903098000000,23084566000000,239771000000,2018,1분기,005380,148500,1101110085450,16.905178386094413,2.3075615332527897
20180814,현대자동차,00164742,25850000000.0,11012,150085000000,46688711000000,2798640000000.0,1911934000000,117336000000,15934413000000,3335720000000.0,5315767000000,299866000000,1488993000000,67717000000.0,10618646000000,-139720000000,22227267000000,494858000000,9075361000000,994441000000,3672844000000,69954118000000,23265407000000,523031000000,2018,2분기,005380,123000,1101110085450,12.326650054481107,2.733125732497978
20181114,현대자동차,00164742,66075000000.0,11014,224726000000,47041024000000,2762083000000.0,1334993000000,13613000000,15400891000000,3408947000000.0,5667984000000,104797000000,1488993000000,104791000000.0,9732907000000,93866000000,22328667000000,115804000000,8750012000000,1452358000000,3694345000000,69003201000000,21962177000000,845982000000,2018,3분기,005380,101500,1101110085450,11.082064279906158,1.934682711313639
20220217,현대자동차,00164742,79133000000.0,11011,360805000000,47083668000000,2863652000000.0,6756618000000,94768000000,17166721000000,,4429408000000,194203000000,1488993000000,142051000000.0,12737313000000,-532103000000,22904948000000,1076260000000,36403490000000,1993920000000,3915129000000,69408737000000,22325069000000,1442606000000,2018,4분기,005380,183500,1101110085450,4.681492008316453,9.734535293445838
20190515,현대자동차,00164742,8606000000.0,11013,74732000000,47994597000000,2830211000000.0,1911790000000,174371000000,17741735000000,3377152000000.0,4661080000000,108543000000,1488993000000,17554000000.0,13080655000000,-10290000000,22742489000000,340555000000,9365142000000,734461000000,3922206000000,70067950000000,22073353000000,231578000000,2019,1분기,005380,128000,1101110085450,12.4982655688267,2.728479996917278
20190814,현대자동차,00164742,12913000000.0,11012,148902000000,48295638000000,3165390000000.0,2583605000000,117696000000,18863731000000,3390198000000.0,4668572000000,191729000000,1488993000000,37572000000.0,14195159000000,17194000000,22791449000000,590809000000,10369310000000,1011590000000,3955830000000,72224829000000,23929191000000,537178000000,2019,2분기,005380,127500,1101110085450,10.838605510410204,3.577170116941364
20191114,현대자동차,00164742,31276000000.0,11014,214479000000,49616050000000,3202662000000.0,1951398000000,47106000000,17676691000000,3528142000000.0,4743336000000,384531000000,1488993000000,50292000000.0,12933355000000,-20795000000,22988350000000,466091000000,9382639000000,1393857000000,4034875000000,71244763000000,21628713000000,903829000000,2019,3분기,005380,124500,1101110085450,12.09526717078169,2.7390055322382083
20220217,현대자동차,00164742,57168000000.0,11011,277444000000,51412033000000,3065329000000.0,8831297000000,295930000000,20238210000000,,5089342000000,382000000000,1488993000000,132884000000.0,15148868000000,-66326000000,24413350000000,1562521000000,40324396000000,1776500000000,4270089000000,73758825000000,22346792000000,1491369000000,2019,4분기,005380,183500,1101110085450,4.110484225704538,11.973207273841469
